original_size,cleaned_size,word_count,formula_count,section_count,figure_count,table_count,citation_count,filename
2147,1119,135,3,0,0,0,0,CONT102.TEX
1909,979,124,0,0,0,0,0,CONT103.TEX
1998,940,113,4,0,0,0,0,CONT1097.TEX
1706,874,109,1,0,0,0,0,CONT1098.TEX
2109,1140,137,4,0,0,0,0,CONT1099.TEX
1678,826,96,0,0,0,0,0,CONT1100.TEX
1760,850,104,1,0,0,0,0,CONT1101.TEX
2297,1221,148,4,0,0,0,0,CONT1102.TEX
2215,1188,144,2,0,0,0,0,CONT1103.TEX
1747,954,114,0,0,0,0,0,CONT1104.TEX
2186,1186,136,1,0,0,0,0,CONT1105.TEX
1597,746,88,1,0,0,0,0,CONT1197.TEX
2326,1239,150,1,0,0,0,0,CONT1198.TEX
1736,840,110,1,0,0,0,0,CONT1199.TEX
2248,1154,136,2,0,0,0,0,CONT1200.TEX
1867,955,113,0,0,0,0,0,CONT1201.TEX
2016,992,117,1,0,0,0,0,CONT1202.TEX
1539,581,70,0,0,0,0,0,cont1203.tex
1868,938,110,2,0,0,0,0,CONT1204.TEX
1594,51,7,0,0,0,0,0,CONT1297.TEX
2212,995,112,0,0,0,0,0,CONT1298.TEX
1958,1046,123,1,0,0,0,0,CONT1299.TEX
1750,868,108,3,0,0,0,0,CONT198.TEX
1909,876,106,2,0,0,0,0,CONT199.TEX
21615,4459,547,30,0,0,0,0,CONT1997.TEX
23677,10303,1241,24,0,0,0,0,CONT1998.TEX
24290,13752,1649,26,0,0,0,0,CONT1999.TEX
2024,1078,125,0,0,0,0,0,CONT200.TEX
24990,14569,1744,29,0,0,0,0,CONT2000.TEX
24542,15131,1788,26,0,0,0,0,CONT2001.TEX
21431,12622,1511,26,0,0,0,0,CONT2002.TEX
24415,14697,1764,24,0,0,0,0,CONT2003.TEX
22743,13564,1609,18,0,0,0,0,CONT2004.TEX
1808,891,109,1,0,0,0,0,CONT201.TEX
1724,874,106,0,0,0,0,0,CONT202.TEX
2126,1085,137,3,0,0,0,0,CONT203.TEX
2128,395,53,2,0,0,0,0,CONT298.TEX
1815,990,121,0,0,0,0,0,CONT299.TEX
2094,1075,134,3,0,0,0,0,CONT300.TEX
2044,1085,129,4,0,0,0,0,CONT301.TEX
1836,974,119,1,0,0,0,0,cont302.tex
1714,823,102,2,0,0,0,0,cont303.TEX
1809,126,15,2,0,0,0,0,CONT398.TEX
1815,908,113,0,0,0,0,0,CONT399.TEX
2046,777,97,0,0,0,0,0,CONT400.TEX
2376,1257,157,2,0,0,0,0,CONT401.TEX
1824,889,113,0,0,0,0,0,cont402.tex
2063,1197,144,1,0,0,0,0,CONT497.TEX
1988,604,74,3,0,0,0,0,CONT498.TEX
2275,1237,149,3,0,0,0,0,CONT499.TEX
2198,1176,140,5,0,0,0,0,CONT500.TEX
1716,896,104,2,0,0,0,0,CONT501.TEX
1557,233,29,3,0,0,0,0,cont502.tex
2148,1119,137,3,0,0,0,0,CONT597.TEX
2125,51,7,2,0,0,0,0,CONT598.TEX
2054,1126,127,1,0,0,0,0,CONT599.TEX
1907,986,117,1,0,0,0,0,CONT600.TEX
2154,1282,151,0,0,0,0,0,CONT601.TEX
2366,1314,163,0,0,0,0,0,CONT602.TEX
1545,695,82,2,0,0,0,0,CONT697.TEX
1932,1004,115,4,0,0,0,0,CONT698.TEX
1820,140,18,3,0,0,0,0,CONT699.TEX
2277,1194,141,2,0,0,0,0,CONT700.TEX
2044,1063,127,4,0,0,0,0,CONT701.TEX
1950,1001,116,2,0,0,0,0,cont702.tex
1649,642,77,1,0,0,0,0,CONT797.TEX
1924,351,45,1,0,0,0,0,CONT798.TEX
1985,1003,123,1,0,0,0,0,CONT799.TEX
1871,952,115,3,0,0,0,0,CONT800.TEX
1684,814,96,3,0,0,0,0,CONT801.TEX
1917,942,108,1,0,0,0,0,CONT802.TEX
2083,1052,127,2,0,0,0,0,CONT803.TEX
1811,888,103,1,0,0,0,0,CONT897.TEX
1772,863,106,1,0,0,0,0,CONT898.TEX
1745,911,115,1,0,0,0,0,CONT899.TEX
1814,973,115,1,0,0,0,0,CONT900.TEX
1805,962,119,0,0,0,0,0,CONT901.TEX
1624,814,97,2,0,0,0,0,CONt902.TEX
2263,1220,152,3,0,0,0,0,CONT903.TEX
1608,825,98,4,0,0,0,0,CONT997.TEX
2039,667,84,1,0,0,0,0,CONT998.TEX
1986,951,114,2,0,0,0,0,CONT999.TEX
977,18,3,0,0,0,0,0,contents.tex
8048,3932,803,1,0,0,0,0,contest.tex
5293,4660,617,1,0,0,0,0,COVER3.TEX
29065,4516,755,240,3,0,0,17,cristof.tex
36590,8144,1189,148,7,0,0,8,danilishin.tex
36207,14073,1903,96,0,5,2,8,dedkov.tex
11691,5806,773,115,0,2,1,0,dedov.tex
12445,7381,1050,26,0,1,0,2,demeshkin.tex
15891,4217,622,71,4,0,0,1,demin.tex
12344,9007,1154,0,0,0,0,0,denisov.tex
43767,17599,2544,238,0,2,2,0,derevyanka.tex
19541,9328,1089,65,0,2,0,6,diligenskiy.tex
19034,4884,926,153,0,0,0,6,dmitr.tex
34976,9959,1540,232,0,0,2,15,dnestryan.tex
24453,4545,879,261,0,0,0,0,docuchaev.tex
18112,6719,1176,245,0,0,0,0,dokuchaev.tex
52627,13977,2276,381,4,0,0,27,dokukin.tex
78061,26537,4579,608,6,0,0,54,dolev.tex
20189,3414,576,100,0,0,0,9,dolgopolov.tex
27844,16484,2283,103,1,1,1,8,dolgopolov2.tex
37656,8980,1494,260,0,5,0,14,dolgopolov3.tex
28935,6584,948,173,0,0,1,12,dolishniy.tex
52709,14509,2288,342,5,0,0,14,Donskoy.tex
27394,6591,965,146,3,0,0,0,dorofeeva.tex
53492,40095,5090,13,7,4,1,0,drobintsev.tex
13316,1816,349,82,0,0,0,0,drozdenko.tex
47803,11114,1981,543,0,0,0,0,drozzinov.tex
27321,8024,1287,178,4,0,0,4,dubanov.tex
35218,9512,1285,202,0,2,0,10,dubovova.tex
31944,21853,2815,5,7,6,0,6,dudarev.tex
109914,7741,1599,574,0,0,0,11,dukhnovsky.tex
42895,19896,2754,280,4,0,0,1,dukova.tex
42562,17499,2293,280,4,0,0,11,dulchitskii.tex
28345,18157,2292,6,6,4,0,9,dulin-nikishin.tex
35494,23838,3068,9,5,6,1,0,dulin.tex
34079,5848,1209,220,0,0,0,3,durdiev.tex
29467,8413,1231,171,0,0,0,7,durdiyev.tex
32544,22126,2982,30,4,0,0,5,durnovo.tex
33522,7765,1127,153,0,3,1,10,dyachenko.tex
50554,8599,1497,322,0,0,0,20,dzhamalov.tex
37247,28858,3819,2,6,0,0,0,EGOROV.TEX
41006,27112,4082,17,5,0,2,29,Egorova+Zats.tex
43110,26757,3703,37,6,1,3,25,egorova+zatsman.tex
52274,28119,3721,104,5,0,5,10,egorova-zac.tex
46163,27968,3767,59,4,1,5,22,egorova-zat.tex
46211,27892,3794,22,4,0,9,9,Egorova-Zats.tex
41960,25167,3430,68,5,0,3,3,Egorova-zatsman.tex
25562,3820,605,165,0,0,0,0,egorova.tex
24954,15641,2010,152,0,4,0,10,elenitski.tex
560,18,3,0,0,0,0,0,encontents.tex
809,132,15,1,0,0,0,0,Eng-Abst-Sinits.tex
6623,2295,360,0,0,0,0,0,eng-index.tex
882,637,83,0,0,0,0,0,eng-sinits.tex
5959,4922,704,2,0,0,0,0,eng.tex
1478,1271,156,0,0,0,0,0,EngAbst-Avt-Milovanova.tex
3958,1446,196,1,0,0,0,0,EngAbstFazerChupr.tex
2099,1882,227,0,0,0,0,0,EngAbstrZeifman+Avtor.tex
38211,24688,3124,40,7,10,1,0,enikeev.tex
36794,22895,2881,82,5,1,1,9,enikeeva.tex
33508,7840,1097,159,0,0,2,0,epishkin.tex
35606,14938,1961,116,0,4,0,0,eremin.tex
24158,5953,804,88,7,6,0,3,erofeeva-zah.tex
50785,7154,1241,224,6,0,0,0,eroshenko.tex
6503,1819,282,19,0,0,0,0,erratum.tex
44809,7188,1191,228,0,0,0,0,evdokimov.tex
38344,7177,1308,303,5,0,0,2,farh.tex
35630,31239,3974,1,9,2,0,0,fedos.tex
30304,22575,2924,2,7,0,0,0,fedoseev.tex
27082,5244,742,110,0,1,0,9,fedotov.tex
1306,1112,121,0,0,0,0,0,fedotova_rigistracia.tex
45156,33903,4163,10,7,1,1,0,filipov.tex
45769,17211,2367,103,6,0,0,3,flerov.tex
14092,9483,1211,66,0,3,1,0,fokin.tex
41834,24014,4044,192,0,5,1,21,fomin.tex
16573,6369,862,98,0,3,0,0,formalev.tex
34713,15103,2671,322,7,0,0,19,frcorr-2.tex
52622,28996,3796,178,6,0,0,26,frenkel.tex
38274,10716,1484,136,5,0,0,12,gadamaka.tex
25368,7583,990,61,4,3,0,7,gaidamaka.tex
33923,14617,1908,46,5,1,0,4,galina.tex
75470,8637,1481,711,5,0,0,44,GAPONOVA.TEX
39750,26703,3383,63,5,3,0,10,garanin.tex
30791,24232,2897,3,6,0,0,4,gav-zats.tex
32162,6440,950,293,2,0,0,18,gavr.tex
33827,26300,3064,11,4,0,0,0,gavrilov.tex
38241,7408,1003,137,6,3,2,10,gaziz.tex
26324,14932,2083,59,4,0,0,5,gershkevich.tex
24555,4320,766,214,0,0,0,2,gil.tex
40805,24191,3065,22,5,3,12,5,gilyazov.tex
50582,5555,1047,453,0,0,0,10,gimaltdinova.tex
50850,11879,2511,586,2,0,0,10,GKP2.TEX
16890,3180,562,120,0,0,0,7,golubeva.tex
32112,20270,2761,167,0,4,0,0,"goludin,radchenko.tex"
19304,11483,1474,185,0,5,1,0,goludin.tex
29506,1292,222,30,0,4,3,8,golyadkina.tex
55957,15485,2189,230,0,5,1,0,gomenuk.tex
44739,31195,4015,18,4,0,3,12,gon-zats.tex
38711,24220,3281,239,4,0,0,6,gonch+zats.tex
52924,33040,4309,208,4,0,0,17,Gonch+Zatsman.tex
39356,24436,3117,51,4,0,0,8,gonch-inkova.tex
42118,27239,3777,108,4,0,0,8,gonch-zats.tex
41902,9557,1396,209,5,2,0,15,Goncharenko.tex
43138,26671,3609,67,5,0,0,9,Goncharov+Ink.tex
39607,19652,2926,124,5,1,5,1,goncharov.tex
35010,9679,1604,236,5,1,1,19,gor+kuz.tex
50568,37491,5480,337,3,0,0,33,gorb-lub.tex
11824,5920,735,47,0,1,0,9,Gorbunov.tex
49433,31916,4335,118,4,0,0,41,gorbunova.tex
69020,23044,3395,481,4,2,4,24,gordienko.tex
24035,13191,1785,106,0,4,0,0,gorev.tex
36024,20140,2729,68,6,0,0,16,gorsh+korolev.tex
37505,14392,1994,165,6,0,0,16,gorsh+mart.tex
40092,22274,2852,52,5,0,0,13,gorsh-one.tex
28461,6905,994,210,5,0,0,2,GORSH.TEX
35183,16418,2353,154,4,0,0,14,gorshenin+kor.tex
27421,18921,2333,11,5,1,0,8,gorshenin-a.tex
35784,23821,3036,12,4,8,0,13,gorshenin-i.tex
